1) Time for Decision = 10s, Time for Scan = 1s, Penalty Cost = 50, No Forgetting Factor, mappa = uffici2
2) Time for Decision = 10s, Time for Scan = 5s, Penalty Cost = 50, No Forgetting Factor, mappa = uffici2
3) Time for Decision = 5s, Time for Scan = 1s, Penalty Cost = 50, No Forgetting Factor, mappa = uffici2
4) Time for Decision = 10s, Time for Scan = 1s, Penalty Cost = 0, No Forgetting Factor, mappa = uffici2
5) Time for Decision = 10s, Time for Scan = 1s, Penalty Cost = 50, No Forgetting Factor, mappa = uffici1
6) Time for Decision = 10s, Time for Scan = 1s, Penalty Cost = 0, No Forgetting Factor, mappa = uffici1
7) Time for Decision = 10s, Time for Scan = 1s, Penalty Cost = 0, No Forgetting Factor, mappa = open1
8) Time for Decision = 10s, Time for Scan = 1s, Penalty Cost = 50, No Forgetting Factor, mappa = open1
9) Time for Decision = 5s, Time for Scan = 1s, Penalty Cost = 50, No Forgetting Factor, mappa = open1
10) Time for Decision = 2s, Time for Scan = 1s, Penalty Cost = 50, No Forgetting Factor, mappa = open1
11) Time for Decision = 2s, Time for Scan = 1s, Penalty Cost = 0, No Forgetting Factor, mappa = open1
12) Time for Decision = 2s, Time for Scan = 1s, Penalty Cost = 50, No Forgetting Factor, mappa = uffici1
13) Time for Decision = 10s, Time for Scan = 1s, Penalty Cost = 50, No Forgetting Factor, mappa = open2
14) Time for Decision = 2s, Time for Scan = 1s, Penalty Cost = 50, No Forgetting Factor, mappa = open2
15) Time for Decision = 2s, Time for Scan = 1s, Penalty Cost = 0, No Forgetting Factor, mappa = open2
16) Time for Decision = 10s, Time for Scan = 1s, Penalty Cost = 0, No Forgetting Factor, mappa = open2
17) Time for Decision = 10s, Time for Scan = 3s, Penalty Cost = 100, No Forgetting Factor, mappa = open2
18) Time for Decision = 1s, Time for Scan = 1s, Penalty Cost = 100, No Forgetting Factor, mappa = open2
19) Time for Decision = 20s, Time for Scan = 1s, Penalty Cost = 100, No Forgetting Factor, mappa = uffici1
20) Time for Decision = 20s, Time for Scan = 1s, Penalty Cost = 0, No Forgetting Factor, mappa = uffici1
